id,text,misinfo,real
3237,I was personally surprised & discouraged'  Harris Poll CEO laments: 'Americans Don't Care About Climate Change Anymore'  Drops from #1 issue to 2nd to last,1,0
3238,United States endorses human use of chlorine dioxide for COVID-19,1,0
3239,Britain has best work environments out of major European countries new survey claims,0,1
3240,DHS Adds Another Environmental Law Waiver To Build More Border Gates,0,1
3241,A publication that affirms the coronavirus was created in the United States to kill elderly people and stop 5G development.,1,0
3242,National Geographic: 'Why we won't avoid a climate catastrophe',1,0
3243,The rate of warming according to the data is much slower than the models used by the IPCC,1,0
3244,Buildings across China are being set on fire to incinerate the bodies of people with coronavirus,1,0
3245,Alcohol injections help with coronavirus pneumonia.,1,0
3246,20% of human volunteers for the test for a COVID-19 vaccine developed by Moderna have suffered serious adverse effects.,1,0
3247,Healing the ozone layer helped slow global warming,0,1
3248,"""Cover of Future"" Boosts Global Awareness on Climate Change with Art",0,1
3249,"Herd of Sri Lankan Sambar Deer's were seen freely gazing on a beach of Yala National Park, due to lack of human activity during current curfew period in Sri Lanka.",1,0
3250,Tackling degraded oceans could mitigate climate crisis - report,0,1
3251,Rapid COVID-19 Test Developed to Detect Neutralizing Antibodies With High Specificity and Sensitivity,0,1
3252,A German journalist is angry at the Tunisian government because it risks its people to save the tourism season.,1,0
3253,Interim Guidance for Conserving and Extending Filtering Facepiece Respirator Supply in Non-Healthcare Sectors,0,1
3254,"Trump Cabinet Bible Teacher Blames Coronavirus Pandemic on God's Wrath  Somehow It Involves China, Gay People, and Environmentalists",0,1
3255,USDA's new blueprint for climate-friendly farming,0,1
3256,This is a market in China where bats and snakes were served as food.,1,0
3257,"If parents refuse to accept COVID-19 testing and vaccination, their children will be taken away. Training sessions are now being held for 200 social workers, judges and other civil servants for this purpose.",1,0
3258,Oregon: Republicans Leave State to Avoid Climate Change Vote  Governor Sends Police to Arrest Them,1,0
3259,"according, again, to the official figuresduring this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined.",1,0
3260,'Grandfather Of Climate Science' Wallace Broecker Dies At 87,0,1
3261,PBO says carbon tax will knock 10 billion off GDP by 2022,0,1
3262,"The Tunisian Foreign Minister announces the imposition of a visa for Tunisians returning from abroad, whose value is 100 euros.",1,0
3263,"Rise in 'surprise' toys on Christmas must-have list, as environment campaigners condemn 'over packaged plastic tat'",0,1
3264,"there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer",1,0
3265,Climate change and coronavirus: Five charts about the biggest carbon crash,0,1
3266,UN report Greenhouse gasses at highest level in 5 million years,0,1
3267,Adaptation isn't enough. We've got to throw everything at the climate crisis | Fiona Harvey,0,1
3268,"Lockdowns Have Been Amazing for the Environment, but COVID-19 Won't Heal the Planet",0,1
3269,Frankincense protects against coronavirus,1,0
3270,GOP Sens Shrug At Trump Admins Alarming Black Friday Climate Change Report,0,1
3271,Coronavirus can be spread between people and animals.,1,0
3272,"Dirty little secret': Warmist Harvard Prof. Schrag finally admits: 'Even if we could become carbon-neutral tomorrow, the climate will keep changing for thousands of years, the ice sheets will keep melting, & the seas will continue to rise'",1,0
3273,We Have Less Time Than You Think for Climate Action,0,1
3274,Wearing masks causes skin cancer.,1,0
3275,"""Health System Response Monitor: WHO new tool analyses COVID-19 response measures across European countries""",0,1
3276,Procuders of vaccines are freed from liabilities if there are side effects,1,0
3277,Stethoscopes send out 5G waves which can stop the heart.,1,0
3278,Is the coronavirus pandemic a chance to tackle climate change?,1,0
3279,Jason Momoa Delivers Searing Speech On Climate Change At UN Headquarters,0,1
3280,Letter: 30-year goals are not enough to fight climate change,0,1
3281,The president of Ecuador doesn't ask for help to China because of the IMF,1,0
3282,INSANE: NY Times Climate Reporter Links 'Fossil Fuels and White Supremacy',1,0
3283,One Day After Catastrophic UN Climate Report Trump Removes Restrictions on Ethanol Gasoline,0,1
3284,Israel has found a cure and a vaccine for coronavirus.,1,0
3285,"A cluster of COVID-19 in Beijing, People's Republic of China",0,1
3286,A study in Germany of 780 patients proved that Vitamin D is an effective treatment against COVID-19.,1,0
3287,So Paulo city hall schedules coronavirus tests by phone.,1,0
3288,"A military Humvee labeled ""COVID-19 quarantine team"" was on Interstate 696 in Michigan.",1,0
3289,Train derailment blamed on 'climate change'  'Scotland's transport sec. said the climate crisis is presenting increasing challenges for rail safety',1,0
3290,Environment reporters face harassment and murder,0,1
3291,This Is What It Looks Like to Be #HighRiskCOVID19,0,1
3292,Possible coronavirus drug identified,0,1
3293,Tencent revealed the real number of deaths.,1,0
3294,A Yale professor published a study that proves hydroxychloroquine is effective against COVID-19,1,0
3295,"What is contact tracing, and does it work? - Medical News Today",0,1
3296,The next President must tackle the intertwined crises of racial injustice and climate change,0,1
3297,Coronavirus Drives Island City to Shelter in Place,0,1
3298,Climate Change Champion Inslee Drops Out Of 2020 Race,0,1
3299,"""These Are Climate Fires"": Oregon Firefighter Ecologist Says Devastating Blazes Are a Wake-Up Call",0,1
3300,"Taiwan authority announced a monthly subsidy of NT$50,000 for each family for three months.",1,0
3301,How Pooled Testing Can Help Us Fight Spread of COVID-19,0,1
3302,"On Climate Change, Biden Has a Record and a Plan. Young Activists Want More.",0,1
3303,Considerations When Preparing for COVID-19 in Assisted Living Facilities,0,1
3304,The pandemic is a fake excuse for Bill Gates to implant microchips into the global population.,1,0
3305,Top court forces Ireland to strengthen climate plans,1,0
3306,Environment Agency sets out long-term plan for making at-risk areas in England more flood resilient,0,1
3307,Russian scientists have found a cure for the new Chinese virus.,1,0
3308,China is planning to kill coronavirus patients.,1,0
3309,General election 2019: Lib Dems pledge 100bn climate fund over five years,0,1
3310,Climate change: May urges G20 to follow UK lead on CO2,0,1
3311,Cause for concern: Climate change,0,1
3312,"Andrew Wheeler, at E.P.A. Confirmation Hearing, Walks a Fine Line on Climate Change",0,1
3313,The text claims that there are 9 newly infected with coronavirus in Bitola.,1,0
3314,"U.S. June Forecast of 3,000 Daily COVID-19 Deaths",0,1
3315,"Last year, though, was a wet one on the Rio Grande, with a strong snowpack in the winter of 2016-17 that allowed the conservancy district to store water in upstream reservoirs.",0,1
3316,Climate change protesters smash glass and plaster Shell HQ with paint as they bring London to a standstill,0,1
3317,"""Unearthing Justice"": Canada's Mining Industry, Environmental and Social Impacts",1,0
3318,"Coldplay won't tour until concerts are 'actively beneficial' for the environment, says Chris Martin",0,1
3319,How climate change forces farmers into slavery in Cambodias brick kilns in pictures,0,1
3320,Virus Co-Opts Immune Protein to Avoid Antiviral Defences,0,1
3321,DOJ Urged to Investigate US Environmental NGOs for Foreign Influence,1,0
3322,"You have to pay ""cash bail"" of KSh6,000 if you're caught without a mask in downtown Nairobi, Kenya.",1,0
3323,Want to Slow the Climate Crisis? Don't Use Single-Use Plastics.,0,1
3324,But the period has caused a headache for climate scientists because clearly there was no upswell in carbon dioxide that could account for such swift warming.,0,1
3325,The Green Read: Get ready for the climate fight we have to win,1,0
3326,Flu shots are contaminated with dogs' coronaviruses.,1,0
3327,Mark Ruffalo hopes his 'Dark Waters' film leads to environmental 'revolution',0,1
3328,The new coronavirus survives on shoes and other surfaces.,1,0
3329,President Trump did sign a 5G bill but exposure effects are misleading.,1,0
3330,Saline water kills the new coronavirus.,1,0
3331,Tell us was 2018 the year you woke up to climate change,0,1
3332,US Courts Just Scoffed at the Chance to Hold Big Oil Accountable for Climate Change Now What,1,0
3333,Boris Johnson government 'may be breaking own climate change laws' with 28.8bn roads programme,1,0
3334,"Circular firing squad scores a hit: Real reason Michael Moore's film axed from YouTube is climate wrongthink, not copyright",1,0
3335,What has four years of Donald Trump meant for the climate crisis?,0,1
3336,"An open letter entitled 'The current corona policy must be changed', was published, in which criticism is levelled at the current corona policy in Belgium.",1,0
3337,Why Good Politics And Good Climate Science Don't Mix,0,1
3338,Watch what happened when Harris asked Barrett about climate crisis,1,0
3339,Chevrons lawyer speaking for major oil companies says climate change is real and its your fault,0,1
3340,"Climate prediction models are all rigged to produce false ""proof"" of human-caused climate change",1,0
3341,"If you decide you don't want the COVID-19 vaccine, the military will help convince you.",1,0
3342,Early Voting Starts in States with COVID-19 Surges,0,1
3343,Fracking: New metastudy reveals its adverse effects on environment and health,1,0
3344,Identify the Primary Components of COVID-19 Case Investigation,0,1
3345,Hydroxychloroquine cures COVID-19.,1,0
3346,Anger as rifts scupper hopes of breakthrough at UN climate talks,0,1
3347,ABC News spent more time on royal baby in one week than on climate crisis in one year,0,1
3348,WarnerMedia investigating claims of 'toxic and abusive environment' on Justice League,1,0
3349,"Republican Convention Ignored Climate Threat, But Americans' Attitudes Are Shifting",0,1
3350,Popular chain store Penneys  also known as Primark  is reopening in Ireland on May 8th.,1,0
3351,Ellen Page Says Trump Questioning Climate Change 'Is Destroying the World',1,0
3352,Hard Truths From Infectious Disease Specialists,0,1
3353,"Clinics in the Philippines are turning away people with COVID-19 symptoms, because of a advisory from the department of health.",1,0
3354,Usefulness of homemade chlorine wipes.,1,0
3355,"Bill Gates wrote a letter that says coronavirus has a ""spiritual purpose"" and is ""a great corrector"".",1,0
3356,"Strong garlic soup can cure the ""Wuhan Virus"".",1,0
3357,Environmental group pledges more than 3 million in Colorados gubernatorial senate races to suppor,0,1
3358,21 States Sue Trump Administration for Rolling Back National Environmental Policy Act,1,0
3359,"UN survey: Climate, conflict, health top future concerns",0,1
3360,People who smoke may have more receptors for the new,0,1
3361,Climate protesters target Murdoch newspapers,0,1
3362,"Right-Wing Finns Party Tops National Polls Amid Anti-Immigration Sentiment, Climate Scepticism",1,0
3363,"Presidential debate: Trump and Biden row over Covid, climate and racism",0,1
3364,Infrared thermometers destroy neurons.,1,0
3365,Emerging Viral Diseases Causing Serious Issues in West Africa,0,1
3366,How New York City Got Control of COVID-19  and Where It Goes from Here,0,1
3367,"Children who are worried about climate change can make sceptical parents change their minds, research finds  and self-described conservative adults are most affected",1,0
3368,An article in El Pais says there is a case of coronavirus at the School of Architecture of Madrid.,1,0
3369,Climate change: Australian TV audience boos sceptical senator,0,1
3370,"Study: Sicker livestock emit more methane, accelerating climate change",0,1
3371,WHO has now asked countries not to use the landfills nor has it declared them 'illegitimate',1,0
3372,"At Last, Joe Biden Leaned Into Climate",0,1
3373,Is climate change the burning issue in Australia?,0,1
3374,"CDC Recommends ""Low-Risk"" Thanksgiving Activities",0,1
3375,Helicopters are going to spread 'medicines' against the coronavirus in Spain.,1,0
3376,George Soros pushes Chinese propaganda  Wants U.S. to work with China on climate change & coronavirus,1,0
3377,A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine.,1,0
3378,"The coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.",1,0
3379,Brazilian spies 'tracked country's own delegates' at international climate conference,1,0
3380,Rahul Gandhi has suggested a possible way to reopen schools/colleges.,1,0
3381,Democrats Lead The Race For Congress  But The National Environment Will Probably Change,0,1
3382,"Fannie, Freddie take a close look at mortgage risks as climate events multiply",0,1
3383,We Need Biodiversity-based Agriculture to Solve the Climate Crisis,1,0
3384,Hydroyichloroquine prevents patients from developing the worst kind of COVID-19,1,0
3385,Infrared thermometers kill neurons.,1,0
3386,"States, Environmentalists Sue Feds Over Planned Coal Leases",0,1
3387,Did Donald Trump attempt to steal a COVID-19 vaccine from a German company and refuse testing kits from WHO?,1,0
3388,Antarctica could turn GREEN due to global warming,1,0
3389,More Than 200 Environmental Activists Killed In 2017 Says Watchdog,0,1
3390,"Amid climate crisis and raging pandemic, Trump blasted for 'morally bankrupt' multibillion-dollar big oil bailout",1,0
3391,Dermatological lesions on the feet of children and adolescents and its possible relationship with COVID-19.,1,0
3392,The coronavirus was created in a laboratory.,1,0
3393,Claim: RIP climate alarmism: 20 reasons why the Wuhan Flu is the final nail in the climate alarmists' coffin,1,0
3394,Youth strike 4 climate: police step in as protesters block Westminster Bridge over climate change,0,1
3395,November 6 Is When Americans Must Rise for Climate,0,1
3396,How Donating Your Plasma Can Help Others During the COVID-19 Pandemic,0,1
3397,Trump attacks environmental 'prophets of doom' at Davos 2020,0,1
3398,WHO and the government give money bonds to the population to cope with the quarantine.,1,0
3399,The new coronavirus dies in seawater,1,0
3400,Emissions must be halved to avoid dangerous climate: Scientists,0,1
3401,"A blog site claimed Kogi State Governor in Nigeria, Yahaya Bello, tested positive with COVID-19.",1,0
3402,"Climate Risk in the Housing Market Has Echoes of Subprime Crisis, Study Finds",0,1
3403,Investigational COVID-19 vaccine well-tolerated and generates immune response in older adults,0,1
3404,Patrick Moore: The climate change skeptic quoted by Trump in 'potentially catastrophic' trend,0,1
3405,The Spanish government cancelled all autopsies,1,0
3406,"Global Warming' Wallops 20 Million Americans With Snow, Freezing Rain",1,0
3407,Mismanagement of COVID-19 patients and flouting of social distancing rules in AIIMS Patna,1,0
3408,"The biological research laboratory Ruilan Bao Hu San Biotech Limited in Shanghai, the city where #coronarvirus originated, has a logo like that of the Umbrella Corporation of RESIDENT EVIL and corona is an anagram for Racoon. WTF",1,0
3409,How Sanders' Climate Plan Could Divide Progressives,0,1
3410,"These charts show the difference betweem COVID-19, flu and common cold.",1,0
3411,"French professor Didier Raoult, director of IHU Marseille, told Africans not to take ""Bill Gates' vaccine"" against coronavirus because it is ""poisonous.""",1,0
3412,Senators grill EPA nominee Wheeler over climate policies,0,1
3413,EPA change to Obama-era rule on methane leaks could lead to more greenhouse gases,0,1
3414,WATCH: Obama adopts strange accent while speaking to young Swedish 'climate' activist,1,0
3415,Final data for 2016 sea level rise have yet to be published.,1,0
3416,Dispatches from the Data Jungle of COVID-19,0,1
3417,"A woman infected with COVID-19 has been spitting and roaming inside a departmental store at Reliance Mall in Rani Bagh, Delhi.",1,0
3418,"""2019-nCoV is old and there is already a cure to it""",1,0
3419,Over 300 people in Jaipur contracted COVID-19 after coming in contact with a indian monk who was smoking chillum.,1,0
3420,"If You're Worried About the New Coronavirus, Here's How to Protect Yourself",0,1
3421,Coronavirus impact: 'Expect more governments to abandon climate and emission targets to save their economies',1,0
3422,"NY Times: YouTube Must Curb Conspiracies Like Aliens, Climate Change Skepticism",1,0
3423,"Violence against women in confinement by COVID-19 has not escalated, according to Mexican president Andrs Manuel Lpez Obrador.",1,0
3424,Trump Fuel Economy Proposal Puts Brakes on Obamas All-Pain-No-Gain Global Warming Crusade,1,0
3425,Brazil's Amazon Fires Highlight The Threat Of Deregulation Amid Climate Change,0,1
3426,A poorly done PCR test has not pierced a patient's brain,1,0
3427,Brazil Was a Global Leader on Climate Change. Now It's a Threat.,0,1
3428,COVID-19 asymptomatic carriers transmit antibodies to other people.,1,0
3429,Bollywood Superstar Aamir Khan donated Rs.15000 each to poor slum dwellers in one kg wheat flour packets.,1,0
3430,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",0,1
3431,"Autopsies performed by Italian doctors reveal that antibiotics, anticoagulants, and anti-inflammatories are the way to combat the new coronavirus.",1,0
3432,Decoy Receptor Neutralizes Coronavirus in Cell Cultures,0,1
3433,The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.,1,0
3434,Trees in the Amazon are the world's sweat glands  and 10 other essential climate facts | Ariel Conn,0,1
3435,Major Climate Report Describes a Strong Risk of Crisis as Early as 2040,0,1
3436,Nearly 30 megacities announce massive cuts in greenhouse gas emissions in defiance of Trump at Calif,0,1
3437,Police drag environmental protesters from hall of Amsterdam airport,0,1
3438,"""With retail people are moving around and you don't have as much a chance to spread the virus (as you do) when people are sitting or standing indoors"" for long periods of time.",0,1
3439,Severe COVID Ups Odds for Heart Conditions 10-Fold,0,1
3440,New confirmation that climate models overstate atmospheric warming,1,0
3441,Even mild COVID-19 may produce long lasting immunity,0,1
3442,AOC Blames 'Climate Change' For Making Her Plan To Be A Mother 'Bittersweet',1,0
3443,"The RDC government canceled every future exams for pupils, because of coronavirus.",1,0
3444,WHO President Tedros Adhanom Ghebreyesus dances at a nightclub during the quarantine period.,1,0
3445,Re-Engineering Antibodies for COVID-19,0,1
3446,Interferon can cure the coronavirus,1,0
3447,COVID-19: Drug targets enzymes that enable virus to invade,0,1
3448,Supposed quote from the Argentinian president alerting that government aid was going to be removed from those who violated the quarantine.,1,0
3449,A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday.,1,0
3450,"In throne speech, Liberals recommit to pledges on climate, economy and reconciliation",0,1
3451,UN climate talks pushed back to November 2021 due to coronavirus,1,0
3452,A primer on the different types of nuclear weapons and how they affect humans and the environment,1,0
3453,List of UNICEF recommendations against COVID-19 includes drinking hot water.,1,0
3454,122 arrested as Extinction Rebellion activists chain themselves to lorry on day two of climate protests,0,1
3455,Coronavirus hits a 15% fatality rate.,1,0
3456,Cancel Culture Goes After Famed Environmentalist Shellenberger after his apology for climate scare,1,0
3457,"The WHO coronavirus test ""was a bad test.""",1,0
3458,Largest Study to Date Links Glucose Control to COVID-19 Outcomes,0,1
3459,"Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the coronavirus is not natural.",1,0
3460,The Global Climate Movement is Failing: Why?,1,0
3461,Why Australia's government is unmoved on climate change,0,1
3462,Bill Gates faces trial in India for illegally testing vaccines.,1,0
3463,An alleged bot system on Twitter controlled by the right wing of Spain uncovered by mistake.,1,0
3464,"Schedules for the sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.",1,0
3465,Kenya had the highest cases of COVID-19 in Africa and the fifth-highest in the world on May 6.,1,0
3466,Just 38% of Americans Believe in Man Made Climate Change,1,0
3467,BBC Attacked for Platforming Climate Denier After Bringing Him on to Mock and Insult Him,1,0
3468,Climate Helped Turn These 5 Places into Ghost Towns,0,1
3469,Most Irish maternity units operating in substandard physical environments - Hiqa,0,1
3470,"Australia 'risks being dumping ground' for cars with greenhouse gas 1,400 times more potent than CO2",0,1
3471,"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19",1,0
3472,Science Minister Pedro Duque was hospitalized due to coronavirus in Denia.,1,0
3473,Beware the kids: US youth to join strike for climate,0,1
3474,Democratic presidential hopeful Beto O'Rourke proposes $5 trillion plan to combat climate change,0,1
3475,Extinction Rebellion latest: police descend on Oxford Circus as Dame Emma Thompson rallies climate change activists from pink boat,0,1
3476,Trump Interior Dept. Official Releases False Climate Info,1,0
3477,Department of Homeland Security official says illegal border crossings may spread coronavirus.,1,0
3478,Sex differences in the new coronavirus,0,1
3479,"Close-up of a bat soup bowl eaten in Wuhan, or elsewhere in China.",1,0
3480,Larger Than Life' Physician Stephen Schwartz Dies of COVID-19,0,1
3481,Caring about climate change is trendy on Tinder,0,1
3482,Australian Scientists refers to COVID-19 as a 'US-Government Funded Bioweapon',1,0
3483,Hainan to minimize risks and better business climate for investors,1,0
3484,Democrats' climate plan takes aim at the fossil fuel industry's political power,1,0
3485,Drinking alcohol can help fight coronavirus.,1,0
3486,Implantation of nanochips has started in Ukraine.,1,0
3487,It's Time to Think Big on Climate Change,0,1
3488,UK has hostile environment to accessing the dentist as 380000 people visit GP with dental problem,0,1
3489,Do we want Earth to become like Venus?': Putin seems to change stance on climate change and calls for swift action,1,0
3490,One chance at survival': Jay Inslee is running for president to fight climate change,0,1
3491,Democrats Spent Less Than 10 Minutes Talking About Climate Change At First 2020 Debate,0,1
3492,Landmark ruling that Holland must cut emissions to protect citizens from climate change upheld by supreme court,0,1
3493,The superintendency of insurance approved a 30% discount on car insurances in Argentina.,1,0
3494,Green buildings must do more to fix our climate emergency,0,1
3495,"By downloading and using the COVID-19 app created by the government for contact tracing, authorities will deport by force our infected relatives.",1,0
3496,Offshore drilling made easier with Trump's rollback of environmental standards,0,1
3497,Apple chief says fires and storms show impact of climate change,1,0
3498,Information about a complete quarantine in Guatemala.,1,0
3499,Putin accuses US and EU leaders of artificially creating COVID-19 to reduce world population.,1,0
3500,Lukewarm water with lemon or water with lemon and bicarbonate are preventive measures for COVID-19.,1,0
3501,"Animal Agriculture, Climate Change, and Disease",1,0
3502,"A painting in which people with face masks of the flags of different countries appear, assuring that it is a ""mural of the Denver airport painted in 1994"", as if it had predicted the current coronavirus pandemic.",1,0
3503,"""GLOBAL: WHO has developed and made available online a tool for behavioural insights on COVID-19""",0,1
3504,10 best dried flowers that are environmentally friendly and long lasting,0,1
3505,Coronavirus and pregnancy: What to know,0,1
3506,Harrison Ford: leaders who deny climate change are 'on the wrong side of history',0,1
3507,The WHO says that they didn't know that shutdowns could affect the economy.,1,0
3508,"Claim that Noam Chomsky assured that the new coronavirus was created by the United States to ""start a bacteriological war""",1,0
3509,Can we attribute a specific drought to climate change,0,1
3510,5 new reasons for hope in the fight against COVID-19,0,1
3511,Nigeria resumes Yellow fever vaccination with safety measures necessary for the COVID-19 context,0,1
3512,Extinction Rebellion protests: Dame Emma Thompson flies into London for climate protests as activists plan to disrupt Heathrow Airport,0,1
3513,"A blog article stating that COVID-19 has been misdiagnosed, as the deaths would be caused by problems linked with thrombosis in the first place. According to the article, the two scientists who discovered this have received an ""international prize""",1,0
3514,"""Face masks being manufactured in China, for example, went to domestic consumption and their own fight against the virus"" while the U.S. was ""largely unable to import supplies from China.""",1,0
3515,Activists hold climate conference deep in the Amazon rainforest,0,1
3516,These 10 steps will strengthen Canada's economy and climate,0,1
3517,"""Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.""",1,0
3518,Trump EPA will revise Obama fuel efficiency greenhouse gas emissions rules for autos,0,1
3519,"The Government ""stole"" 50 respirators of those 250 offered to Bolivia as a donation by the Trump administration.",1,0
3520,"CBS, NBC Fail to Include Inconvenient Tidbit About Global Warming Teen's Voyage",1,0
3521,Amazon Employees Defy Policy on Criticizing Company's Environmental Policy,1,0
3522,People on steroids for chronic illness may be more at risk of COVID-19,0,1
3523,Weed (cannabis) cures coronavirus.,1,0
3524,Red soap and white handkerchiefs are good against the coronavirus.,1,0
3525,"Time to stop shaming farmers for climate change, says Varadkar",0,1
3526,"The Social Security System (SSS) in the Philippines ""approved financial aid worth P20,000 for every member,"" to assist those affected by the novel coronavirus pandemic.",1,0
3527,"Bill Gates said at least 700,000 people will suffer serious adverse reactions caused by COVID-19 vaccines",1,0
3528,Having COVID-19 contagion parties will make the epidemic end faster.,1,0
3529,Second climate change march pupils told by headteacher to prove they care about the environment,0,1
3530,Pictures of people stranded on hospital beds claimed to be Italians not coping with the pressures of COVID-19 cases; India should learn from Italy's mistakes and not step out of the house in the 21-day lockdown,1,0
3531,What Warehousing Workers Need to Know about COVID-19,0,1
3532,"Earth's mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 9001100 A.D.",0,1
3533,Weatherwatch: reindeer adapted to snow but not climate change,0,1
3534,A Rational Approach to Global Warming,0,1
3535,"If COVID-19 was a serious illness, it would have wiped out the homeless population in the U.S.",1,0
3536,Farmers Are Plagued by Debt and Climate Crisis. Trump Has Made Things Worse.,1,0
3537,"Russia's Climate Policy Among World's Worst, Study Says",0,1
3538,Al Jazeera Climate Misanthropy: 'Will coronavirus help nature reclaim the Earth?',1,0
3539,"Act fast to stop UK carbon emission rebound, climate advisers urge",0,1
3540,The new coronavirus was registered in 2004.,1,0
3541,Trump Administration Moves to Halt Climate Change Lawsuit Filed by Young Activists,0,1
3542,"Two men robbed gold and money, asking the victim to put on a mask.",1,0
3543,"Mike Ryan, director of the WHO, said isolation measures worsen the pandemic.",1,0
3544,Blood and Plasma Collection,0,1
3545,Kayseri municipality published Coffin Dance billboards for COVID-19,1,0
3546,Schumer says Democrats will force votes on climate policy,0,1
3547,Dentists Are Reporting a Low Rate of COVID-19: Here's Why,0,1
3548,Britain beyond lockdown: can social and climate justice come together?,0,1
3549,Climate change: male infertility caused by heatwaves may result in mass extinction,0,1
3550,The Site of an Environmentalist's Deadly Act of Protest,0,1
3551,Animal Laboratories Being Used to Process COVID-19 Tests in an Effort to Speed Up Results,0,1
3552,Scientists from Australia create the first vaccine for novel coronavirus,1,0
3553,"COVID-19 Is Creating Fear, Frustration With Soldiers, Sailors",0,1
3554,These Floating Hospital Ships in Bangladesh Are Saving Hundreds Of People's Lives In Remote Areas That Are Affected By Climate Change,1,0
3555,emUSA Todayem publishes climate denial on its opinion page nine months after saying it wouldn,0,1
3556,Will Coronavirus Exposure Mean Lasting Immunity?,0,1
3557,Want to Stop Climate Change Take Em to Court,0,1
3558,At committee today Pot legalization smart cars and overhauling the environmental assessment proces,0,1
3559,General election 2019: How big an issue is climate change for voters?,0,1
3560,Zinke Likens His Environmental Rollbacks To Teddy Roosevelt's Legacy,0,1
3561,White House Forming Council To Contradict Climate Change Conclusions,0,1
3562,Envrio leftie George Monbiot takes on enviro leftie Michael Moore on overpopulation: 'Why do so many people in rich nations claim that the biggest environmental problem is population growth?' Answer: 'Racism',1,0
3563,Who?': Trump mocks teenage climate activist Greta Thunberg during CPAC speech,0,1
3564,Sea level rise is decelerating.,1,0
3565,"Sixteen Environmental, Public-health Organizations Oppose Greenwashing of Fracked Gas-to-methanol Refinery",1,0
3566,Stop the Illegal Wildlife Trade: Elephants go hungry as climate crisis causes Africa's largest rainforest to 'wither and die',1,0
3567,Fox News misrepresents Alexandria Ocasio-Cortez's comments about climate change,0,1
3568,Beto O'Rourke: 'Climate Change is the Greatest Threat We Faceand We Have One Last Chance to',1,0
3569,One of the first recipients of a trial COVID-19 vaccine died.,1,0
3570,An Approach for Monitoring and Evaluating Community Mitigation Strategies for COVID-19,0,1
3571,Why You Should Be Skeptical of Early Results of COVID-19 Drug,0,1
3572,Rural Hospitals Prepare for Two Vastly Different Scenarios,0,1
3573,Did The Rothschild family 'patent in 2015 a method to test for COVID-19',1,0
3574,New evidence shows wearing a face mask can help coronavirus enter the brain and pose more health risk.,1,0
3575,WATCH: EPA nominee Wheeler says climate change 'not the greatest crisis',0,1
3576,"Greens push overhaul of property tax, higher carbon tax in government talks",0,1
3577,"""Now, they're doing tests on airlines  very strong tests  for getting on, getting off. They're doing tests on trains  getting on, getting off.""",1,0
3578,Very Expensive' Climate Change Bill to Cut CO2 Emissions 0.3% Over 30 Years,1,0
3579,UV rays and sunlight can kill the coronavirus.,1,0
3580,New York State Governor shows data that proves that isolation is ineffective against COVID-19.,1,0
3581,So much for 'global warming': Record cold forces rethink on climate change,1,0
3582,Would you eat insects to save the planet from global warming Jessica Brown,0,1
3583,Japanese Nobel laureate Dr. Tasuku Honjo has said China manufactured coronavirus and he once worked at the Wuhan lab which later produced it.,1,0
3584,Experts urge Theresa May to confront Trump over climate crisis,0,1
3585,The World Health Organization (WHO) said that no vegetarian has contracted COVID-19.,1,0
3586,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",1,0
3587,the concentration of carbon dioxide in Earth's atmosphere has climbed to a level last seen more than 3 million years ago  before humans even appeared on the rocky ball we call home.,0,1
3588,Climate change: British Airways reviews 'fuel-tankering' over climate concerns,0,1
3589,Trump Enrages Left by Skipping G7 Climate Meeting,1,0
3590,What Canola Can Tell Us About Crops And Climate Change,0,1
3591,Global Climate Strike: Best signs from protests around the world,0,1
3592,Climate Change Moonshot': Kirsten Gillibrand echoes JFK in plan for combating climate change,0,1
3593,"According to a publication that is spreading on Facebook, ""sunlight destroys coronavirus quickly, says new study"".",1,0
3594,Bye-Bye Beer Brewers Say Theyve Got A Plan On Climate Change,0,1
3595,"An article stating that utility bills will be increased with a ""Covid tax"" aimed at helping people in need in Italy.",1,0
3596,"A poem signed by K. O'Meara beginning with the verse ""and the people stayed at home"", supposedly written ""about 220 years ago"", during the plague epidemic in 1800.",1,0
3597,This map of France shows how and when home confinement will end (by date and regions).,1,0
3598,Gujarat CM Vijay Rupani said that his government provided ration to 650 million people during the lockdown.,1,0
3599,US election: What a Trump or Biden victory means for the climate,0,1
3600,Does Medicare cover flu shots? Cost and coverage,0,1
