id,text,negative,neutral,positive
1332,@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,1,0,0
1333,@United Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx,0,1,0
1334,@USAirways website isnt working and I cant talk to any1 on the phone to check flight status out of dfw. Roads are awful and cant get there,1,0,0
1335,@USAirways That link doesn't work on mobile.,1,0,0
1336,"@united I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight",1,0,0
1337,@SouthwestAir happy to enter your sweepstakes again #nutsaboutsouthwest,0,0,1
1338,@united You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,1,0,0
1339,"@AmericanAir not only did you rebook me on the wrong day, your phone system says it can't handle the volume and hangs up on me!!!",1,0,0
1340,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city,1,0,0
1341,@USAirways download jeokoo the American app for air travelers,0,1,0
1342,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,0,0,1
1343,"@USAirways US 728 returned to gate to get ""MEL"" sticker. Oh, look. We heard from pilot! No clue what an MEL sticker is. Anyone?",1,0,0
1344,@SouthwestAir do you have any flights from NAS-BWI ton March 23?,0,1,0
1345,@united You delayed a connection for customer service today now I'll be able to pay my final respects to a dear family member. Thank you :),0,0,1
1346,@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.,1,0,0
1347,@united I'm flying UA but *G with A3,0,1,0
1348,😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”,0,1,0
1349,@SouthwestAir and now our arrival is delayed nearly 5hours. Yeah an entire day in an airport is not my idea of a stress less vacation #fail,1,0,0
1350,@united Deep Vein thrombosis,0,1,0
1351,"@AmericanAir My flight 1108 was Cancelled Flightled. I need to be rebooked, and I can't do it online and they aren't answering calls. Help!",1,0,0
1352,@united get a clue. I am a 1K/2mm miler and that is the response you give?,1,0,0
1353,"@JetBlue For the record, that was less than a 10-minute turnaround time for the answer from the question.  JetBlue rocks!",0,0,1
1354,@SouthwestAir Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.,1,0,0
1355,@USAirways I keep missing my updated connections. Need to make it to #JAX to be in my friend's wedding! #strandedattheairport,1,0,0
1356,"@USAirways not likely, flightaware says plane is still in Durango and hasn't departed.",1,0,0
1357,@USAirways sure did. I have carried this bag on numerous times on the same style plane. Planning accordingly apparently accounts for nothing,0,1,0
1358,@SouthwestAir now I can't board thanks. You guys moved me to standby. I've been holding this boarding pass since 7pm yesterday,1,0,0
1359,@united  eventually.  You should approach bags like @AlaskaAir  they get it.,1,0,0
1360,@SouthwestAir Thank u Thank u Thank u for coming through for us! I sincerely didn't think it would happen. &lt;3 #SWA #THANKYOU,0,0,1
1361,"@JetBlue Great Thank you, lets hope so! Could you please notify me if flight 2302 leaves JFK? Thank you again",0,0,1
1362,@united and those three people were awesome working very long hours. It is easy to say sorry on Twitter but you should help your ppl @EWR,1,0,0
1363,"@united, I'm still frustrated I gave up my seat &amp; the promised Travel Certificate was withheld w/o explanation. http://t.co/KvfwajVViD",1,0,0
1364,@united Cancelled Flightled my flight for some unknown reason and haven't really given me anything to make my overnight layover tolerable,1,0,0
1365,@united nice and early back home! http://t.co/geG4nghmIE,0,0,1
1366,@AmericanAir 3127. Just landed in LIT.,0,1,0
1367,"@united so, not only were you Late Flight, you broke my luggage handle. You paying for a new one? http://t.co/nYVV1X3d67",1,0,0
1368,@united I unfortunately didn't get her name :( she was not nice!,1,0,0
1369,@united I'm 0/3 for Flight Booking Problems without major problems. 0% isn't bad!👎👎,1,0,0
1370,@AmericanAir Trying to make an online Flight Booking Problems one way from Barbados -NYC but wont let me as says I need a Barbados CC...why??!,1,0,0
1371,@united we can't all be american airlines I suppose... http://t.co/0EWj7oKlji,1,0,0
1372,@united what is that going to do for you? Nothing just like you always do,1,0,0
1373,@USAirways Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,0,0,1
1374,@SouthwestAir Thanks!!! :)  It is good to air on the side of caution,0,1,0
1375,@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.,1,0,0
1376,@JetBlue #1680 Super smooth flight and landing. Nicely done.,0,0,1
1377,@AmericanAir is the company from hell with NO consideration for customers that give it hundreds of millions of dollars per year #SMH,1,0,0
1378,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed,1,0,0
1379,@USAirways your staff at LAX really messed up on this one. Failing to scan my suitcase tag.,1,0,0
1380,@JetBlue you can do better than this. And you can do better for me and all the passengers. #flight108 jfk to pwm.,1,0,0
1381,"@USAirways this day has been a disaster, rude employees, no help &amp; now no hotel. not flying with you again &amp; I fly ALOT! Dallas=raise=now!",1,0,0
1382,@AmericanAir I booked it on US Airways site. Don't see a Cancelled Flight link :(,1,0,0
1383,@AmericanAir Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?,1,0,0
1384,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!,0,0,1
1385,"@AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx",0,1,0
1386,@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place,1,0,0
1387,@AmericanAir I need a flight out tonight. Isn't there anything else?,1,0,0
1388,@USAirways who would like to watch the video of how loyal customers are really treated while asking for an explanation for our 6 hour delay?,1,0,0
1389,"@USAirways Raleigh to Chicago and no #firstclass upgrade. Must be flying AA 'the screw USAir Elite, after we bailed them out' Airline",1,0,0
1390,@AmericanAir - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP,0,1,0
1391,"@AmericanAir Yes. However, the seats they assign us that day are never together. I just want to sit with my husband! Why is that impossible?",1,0,0
1392,"@USAirways my wife is trying to check in for a flight tonight out of RSW...website not allowing, saying must go to airport... [Part 1 of 2]",1,0,0
1393,"@SouthwestAir I, along with other passengers repeatedly asked Southwest personnel what was taking so long, where was our luggage.",1,0,0
1394,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,1,0,0
1395,@USAirways Does your company see passengers as customers or just $$$?,1,0,0
1396,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.,1,0,0
1397,@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?,1,0,0
1398,@USAirways YOU ARE THE BEST!!! YOU ARE AMAZING!!! FOLLOW ME PLEASE;)🙏🙏🙏,0,0,1
1399,@SouthwestAir u texted that my flight from Denver to SD tmrw is Cancelled Flightled? Been on hold for an hour trying to get help. Any other flights?,1,0,0
1400,"@JetBlue flight 894, first officer not even at the airport wow!!!!!! Unreal, staff waited until we all boarded to announce we are delayed.",1,0,0
1401,@united yr team have me on hold for over an hour unhelpful Pls can you answer my question.,1,0,0
1402,@USAirways changed our flight 6 times in 1 trip. Bumped to @Delta now &amp; having great experience. Never. Flying. US Air again. Never.,1,0,0
1403,@USAirways And you took away my 1st class seat.  Love being a Chairman Preferred and assigned row 24 seat B middle seat,1,0,0
1404,"@united sorry, wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant",0,1,0
1405,@AmericanAir Oh trust me. I am in love. It is so beautiful!,0,1,0
1406,@AmericanAir it's more than technical problems. #frustrated #answerthephone Res. on hold and can't get thru to use a credit to pay for it,1,0,0
1407,"@united we finally just arrive to Bogota, good but long flight!!",0,1,0
1408,@united friends been sitting in Houston since 7am flight Cancelled Flighted.Still don't have any answers. #BadCustomerService  #$10voucherwhatajoke,1,0,0
1409,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?",0,1,0
1410,"@united boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much",1,0,0
1411,@JetBlue @zakkohane pretty sure he's saying Ricoh had great service down at BOS ;) #happytohelp,0,1,0
1412,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please.",1,0,0
1413,"@SouthwestAir MY BAGS ARE. 1st woman said it would be there on the next flight... not there, so now Ive got nothing. Big wigs help me out",1,0,0
1414,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.,1,0,0
1415,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather,0,1,0
1416,@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?,1,0,0
1417,@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues,1,0,0
1418,@USAirways took me 4+ hours to book flights yesterday due to system errors between you and @AmericanAir. paid $320 extra due to time lapse,1,0,0
1419,@united Slightly better. Crew spent a long time searching for better altitude. Would have helped to let pax in on why all the sharp drops.,1,0,0
1420,@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?,0,1,0
1421,"@USAirways still Effin waiting... Not weather delays, not engine trouble, but lack of crew?  Are you shitting me?",1,0,0
1422,@SouthwestAir Hi Guys good morning how are you doing,0,0,1
1423,@USAirways disappointment? Making own arrangements for me &amp; my sleeping toddler with zero assistance from USAir is maddening.,1,0,0
1424,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,1,0,0
1425,"@SouthwestAir doesn't care nor does SNA agent Jacquie Plitt, rude gal bad attitude! had 2 fly @USAirways 2 CABO thx http://t.co/VbUxfPCKfa",1,0,0
1426,@AmericanAir   What is that!? Why even bother catering dog food that no one will eat ? http://t.co/iFESPcBzTm,1,0,0
1427,"@united is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress,",1,0,0
1428,@JetBlue great flight! Great view! :-) http://t.co/Yxn00pnOav,0,0,1
1429,@united I hope so too :),0,0,1
1430,@AmericanAir I'm trying to choose my seats but every time I go to the next flight I get system error,1,0,0
1431,@SouthwestAir done,0,1,0
1432,@united how is Mexico not international from the us?,0,1,0
1433,@VirginAmerica Another delayed flight? #likingyoulessandless,1,0,0
1434,@USAirways your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else,1,0,0
1435,"@SouthwestAir  also, gave up after 1 hr 32 minutes on hold. Maybe put a few more people on it?",1,0,0
1436,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,1,0,0
1437,@USAirways now U horrible people say you have no where for her to sleep?,1,0,0
1438,"@SouthwestAir ""...you in the 10 hrs we were hanging out there? Oh, no I understand things get crazy n sometimes 10 hours isn't long enough.""",1,0,0
1439,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,1,0,0
1440,@AmericanAir cannot talk to any agents keep getting hung up on crazy,1,0,0
1441,@SouthwestAir Flight 2646.  Four hours in the plane on the ground at BWI.,1,0,0
1442,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:),0,0,1
1443,"@AmericanAir Trying desperately to rebook my moms flight. Waited 10 hours for callback, got disconnected and they didn’t call back. #help",1,0,0
1444,@JetBlue Challenge accepted. First 5 crew members to send pics in the chairs get FREE tickets to visit us. #wager #IsItSummerYet,0,1,0
1445,"@USAirways between 3 of us, it is costing over $1000 to get home TODAY for no reason... Where do I send my receipts to be reimbursed?",1,0,0
1446,"I'd like the 11c I originally tried for @AmericanAir - again, happy to pay the difference",0,1,0
1447,"@JetBlue I have someone driving me, it's best to get a wheelchair once I get inside?",0,1,0
1448,@USAirways  sitting on Tarmac in #PIT for 30 min. No announcement. Just sitting.,1,0,0
1449,"@united we got it, thanks.",0,0,1
1450,@JetBlue thanks for the help,0,1,0
1451,@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.,1,0,0
1452,@jetblue any idea what caused the delay on flight 1316 FLL &gt; Jax ?,1,0,0
1453,"@USAirways I wasnt  flying your airline tonight, however a friend was and I was present for her help. I flying United and they could learn.",0,0,1
1454,@AmericanAir I've been doing this all night. Can someone please help? I need my flt fixed. Please???,1,0,0
1455,@AmericanAir are flights from Pensacola fl delayed flight 3670,0,1,0
1456,@USAirways it's flt 4827 to ELM - still no gate and still have to make it thru customs,1,0,0
1457,@JetBlue Ricoh Smith at BOS provided oust and service,0,1,0
1458,@SouthwestAir how come I'm not getting my points after I buy from the rapid reward shopping site?,1,0,0
1459,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,1,0,0
1460,@JetBlue Offering Special Fares to @GoPureGrenada @discovergrenada http://t.co/MBcEhCSZX3 @CaribbeJan @islandexpert http://t.co/2Zm4jkAlZl,0,1,0
1461,"@SouthwestAir sucks. Passengers leaving the plane to make room luggage, checking luggage and getting back on. Delayed flights to same city.",1,0,0
1462,@USAirways Are you guys awake? Need help with delayed flight to get protected on Late Flightr flight from PHL.,1,0,0
1463,@JetBlue I have many allergies and want to know if I can bring an 8oz. bottle of Benadryl on the flight along with my 2 epipens?,0,1,0
1464,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me,1,0,0
1465,@united  Stressed and rude agents. Overwhelmed by delyd flight LAS-DEN 1657. Yelling at several people. Not pretty. This is #friendlyskies??,1,0,0
1466,@united I have submitted my complaint. I need to be compensated. How long will this take?,1,0,0
1467,@AmericanAir why don't you take care of @Cowboycerrone flight screw ups,1,0,0
1468,"@AmericanAir I am, called Paris office this morning again, still waiting. It is in Miami but apparently tag was ""taken off""",1,0,0
1469,@AmericanAir Kudos to the captain and crew for handling fustrated people while dealing with the preventable issues and shortcomings by maint,0,0,1
1470,@united - why am I sitting on this plane for an hour after scheduled takeoff without a cloud in the sky? #keepusguessing #isthisyourfirsttry,1,0,0
1471,@AmericanAir five times at last count,1,0,0
1472,@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th,0,1,0
1473,@AmericanAir @NY_NJairports Do you guys teach poor customer service or is it just part of an american dream?,1,0,0
1474,@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!,0,1,0
1475,@JetBlue luggage fees? won't b flying JB again! at least #AA gives platinum pass 2 bags! tired of overchging bg herded like cattle2slaughter,1,0,0
1476,@AmericanAir am on hold for the 2nd time today. Need help with confirming the new flights you arranged for me. Can you expedite this?,1,0,0
1477,@SouthwestAir beyond ready,0,0,1
1478,"@united Thank you for wasting my time &amp; money. Not only will I now arrive 5 hours Late Flight to my destination, but...",1,0,0
1479,"@USAirways It's pretty hilarious that you want @SweetingR to finish his awful experience before doing something. Make it right, now.",1,0,0
1480,@JetBlue Was nice to see your Veterans Advantage Program at the gate on Sunday @ MCO.Keep up the good work at  JetBlue,0,0,1
1481,@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing,1,0,0
1482,@AmericanAir No I do not have them yet. Called for baggage status 5 times yesterday.,1,0,0
1483,@SouthwestAir I will be calling someone on Monday in customer relations. Very disappointed in how I was treated by customer service!,1,0,0
1484,@AmericanAir is non existent and I will take this as far as needed.Why hide behind a corporate logo? Provide a number #tcf #useless #amateur,1,0,0
1485,@AmericanAir I let a crew member know every time this happens.  Which is most of the time.,1,0,0
1486,@USAirways @AmericanAir Flying from Orlando to Philly to Charlotte to Lynchburg. Saw advisory re Philly. Wld like to fly from Orl to Char,0,1,0
1487,@USAirways I'm tired of paying for luggage &amp; less than stellar customer service @AmericanAir. #notafanofyourmerger,1,0,0
1488,"@SouthwestAir Looks like 'On February 19, 2015, we will open our schedule for sale through October 30, 2015' - know what time that will be?",0,1,0
1489,@united will the kudos to capt. Herman be relayed to his chief pilot or should I be emailing someone?,0,0,1
1490,@united @ShulemStern @gg8929 Raise a dispute with your cc provider and they will hopefully clear it for you.,0,1,0
1491,"@SouthwestAir yes, thank you. Just sent DM.",0,1,0
1492,@USAirways My last flight was Cancelled Flightled and I'm very disappointed.,1,0,0
1493,@AmericanAir hey! Tried calling customer service and was told there's a 2 hour wait. This has been for the past 4 hours. Thanks! You suck!,1,0,0
1494,@united #onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.,1,0,0
1495,@united any chance you could help rebook?? My flight Cancelled Flightled,1,0,0
1496,@SouthwestAir thank you! ❤️❤️❤️ you guys!,0,0,1
1497,@USAirways you used to have an evening flight DCA-DSM and an early AM return. Now it's middle of the work day for both. Inconvenient.,1,0,0
1498,@SouthwestAir @TheEllenShow @Imaginedragons if only that was me! 😍 #DestinationDragons,0,1,0
1499,"@SouthwestAir Problem is, I wasn't issued a position until today at the gate. And no option to upgrade. Not good when you're 6'4.",1,0,0
1500,@USAirways @_RobPrice  how can he try again it will be 5-6 hours before he gets help.  Contingency plans non existent.,1,0,0
1501,@JetBlue is it true there's a new A320 livery and a new website...?!,0,1,0
1502,@USAirways No I need the corporate office number please as that is who is dealing with this for me. It's a 480 number.,0,1,0
1503,@SouthwestAir can't DM you without you following me...,1,0,0
1504,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,0,1,0
1505,@SouthwestAir I did ....it's just been such a disheartening experience for me and my family...and a lot of taxi money wasted.,1,0,0
1506,@SouthwestAir arrangements to reimburse me for the rental I had to get?,0,1,0
1507,@JetBlue there were seats but after waiting on hold for 20 minutes they were gone-now she has to stay another night in charleston-very pricy,1,0,0
1508,"@united Doumented via link. However, now that it has been over four months with no response, what do you suggest? Or shall I not expect one?",1,0,0
1509,"@USAirways flight 2031, worst experience we've ever had on a flight. Regretting opening their air miles card #hotterandlongerthanhell",1,0,0
1510,@SouthwestAir Me on one of your planes!!! Thanks for taking me Arizona 184! http://t.co/Finq5Fh6ue,0,0,1
1511,@united sadly this wasnt just due to mother nature investigate this incident and your employees at sfo. Terrible customer experience,1,0,0
1512,@united I think you should board from the back of the plane #whatstheholdup #CHItoCLE,1,0,0
1513,@SouthwestAir I just sent a screen shot of the incident report.,1,0,0
1514,@USAirways really? No meal vouchers for a 7 hour flight delay out of Virgin Islands...,1,0,0
1515,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",1,0,0
1516,@JetBlue I'll take 3 round trip tickets to the closest warmest place please! #negativedegrees #buffalo #snowwillnevermelt,0,1,0
1517,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited,1,0,0
1518,@VirginAmerica Grand Budapest Hotel #OscarsCountdown,0,1,0
1519,@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!,1,0,0
1520,@united Got a call. Bag is to be delivered tonight. Thanks for your reply!!,0,0,1
1521,@USAirways pilot tells me that all @AmericanAir and US Airways flights across the country have stopped due to a computer system failure.,1,0,0
1522,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,0,0,1
1523,@USAirways Nick on flight 742 was awesome. Please reward him in some way!!! He has kept us smiling on a bad day of travel. #customerservice,0,0,1
1524,@united so the last seg of my flight from Denver (DEN) to hayden/steamboat (HDN) for 8am got Cancelled Flightled and I need help finding my luggage,1,0,0
1525,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!,0,0,1
1526,@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?,1,0,0
1527,@USAirways it still says that I can't check into my flight because the information is incorrect but everything is entered correctly,1,0,0
1528,@AmericanAir appreciate it!!,0,0,1
1529,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0,0,1
1530,"@SouthwestAir pls help me get this resolved &amp; reimbursement made.  gracias, rico; pls send me private msg with phone number or email address",1,0,0
1531,"@AmericanAir Hello, question, How many balloons do you think it will take to life up one of your planes?",1,0,0
1532,@united ... horrible wait time on 4348 to get a gate  ..shows total miss  management . Value customer time and respect thier sentiment,1,0,0
1533,@united contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?,1,0,0
1534,@USAirways the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...,1,0,0
1535,"@USAirways I did, but i need to get a human being. What's the fastest way to achieve this? All I get is a computer.",1,0,0
1536,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!,1,0,0
1537,@AmericanAir come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed,1,0,0
1538,@AmericanAir flight Cancelled Flighted out of LAX for tomorrow due to connection in DFW. Help please? we can go out of orange or burbank,1,0,0
1539,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,1,0,0
1540,"@USAirways  ""please call Late Flightr"" is not acceptable - but neither is being on hold for 5+ hrs #onholdwith",1,0,0
1541,"@AmericanAir Hey, AA! There was a mistake made by your CR on my Flight Booking Problems. When I call your reservations #, I keep getting hung up on. Advise.",1,0,0
1542,@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday,0,0,1
1543,"@USAirways is there nothing that can be done online to help? i bought these as a birthday present, just trying to be able to afford a change",0,1,0
1544,@VirginAmerica i would like help with some flights please.,0,1,0
1545,"@united: ""Left gate 5 minutes early."" My thoughts: ""That doesn't count if you sit on the Tarmac for a half hour."" #comeonpeople",1,0,0
1546,@USAirways on hold for 2 hours. You know what just keep my money,1,0,0
1547,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you.",1,0,0
1548,@SouthwestAir  I look forward to those direct flights to California to see my family more often. Thank you @MichaelBColeman #byebyeusairline,0,0,1
1549,@AmericanAir hook me up with a free trip to Barbados and I will tell you the secret beaches to see,0,1,0
1550,@USAirways a year and every time with US Air something happens. I sat waiting for a re-scheduled flight for 10 hours then to say its,1,0,0
1551,"@USAirways I have LITERALLY been on hold since 3am est.PlatinumEventually hung up &amp; again back on hold. Understand weather, but ridiculous.",1,0,0
1552,“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man,0,1,0
1553,"@USAirways me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed",1,0,0
1554,@JetBlue are we scheduled to depart as scheduled?,0,1,0
1555,@AmericanAir please DM me a way to get in touch with someone that can help. I'm platinum AA and considering quitting AA BC of this.,1,0,0
1556,@USAirways @USAirwaysCenter My lost bag lands in Hartford at 639p tonight. Will it be delivered to Danbury CT tonight?,1,0,0
1557,@SouthwestAir Just sent you a DM with the details.,0,1,0
1558,@AmericanAir @cnnbrk they didn't address the assult or drinks spilled on her  the drunk passenger had to have a wheelchair to get off plane,1,0,0
1559,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0,0,1
1560,@united just landed. Might want to check flight 304 plane from Houston. That sound was during takeoff &amp; landing http://t.co/QKquRagGoO,1,0,0
1561,@JetBlue Flight is 100% full.,1,0,0
1562,Oh yeah? RT @JetBlue: Our fleet's on fleek. http://t.co/FTv2NWWQF1”,0,1,0
1563,@SouthwestAir @CBSsoxfan you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred http://t.co/1TZZ0vbMbS,1,0,0
1564,@AmericanAir 2 months and still no exec platinum member cards. What gives?,1,0,0
1565,@jetblue waiting for flt 105 to Chicago. Why hasn't aircraft left buffalo yet?,1,0,0
1566,@united okay ase24766m. Find our luggage.,1,0,0
1567,@united tried that. Cannot figure out where to go to get it.,0,1,0
1568,@USAirways I find it funny that @PHLAirport responds but you don't. Your customer service is the worst. #wedontcarebecauseyoupaidalready,1,0,0
1569,@SouthwestAir any chance they will change this to include Northeast airports?  JetBlue has.,0,1,0
1570,@United UA1740. As the inbound flight dep time gets closer you push it back 15 min. You've been doing this for 2 hrs.,1,0,0
1571,@united never flying United again! Worst experience ever,1,0,0
1572,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,1,0,0
1573,@USAirways Can you tell me why I waited 90 mins and then was charged the $25 phone change fee even tho I wasn't allow to make change online?,1,0,0
1574,"@USAirways I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable.",0,0,1
1575,@SouthwestAir   Where the heck are the bags for Chicago 408. It has been an hour,1,0,0
1576,@USAirways @AmericanAir Day 3 &amp; still no luggage Chkd http://t.co/MbLTALr4BS STATUS=AWAITING ASGMNT TO DRIVER Since yest 10:15am,1,0,0
1577,@USAirways I think it's ok.,0,1,0
1578,@jetblue I'm dissapointed in the way paseengers on flight 0510 in Santo Domingo have been treated. 9hrs to board the plane and no info given,1,0,0
1579,"@USAirways Spoke on the phone 3 or 4 times, but no resolution. I'm still waiting to get my money back but now prices are jacked up",1,0,0
1580,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",0,0,1
1581,@AmericanAir AA 1657 was also over an hour Late Flight to depart Ohare and now we have no luggage. Not happy standing in a long line at baggage svc,1,0,0
1582,@SouthwestAir already booked my tickets for August 20th-30th!  Can't wait for my vacation!,0,0,1
1583,@USAirways the voucher you give us for a hotel is useless you call the number they say no rooms available what do you expect me to do?,1,0,0
1584,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise,0,0,1
1585,@united tried to check it 40 mins before a flight rather than 45 mins and we are stonewalled by your employees...,1,0,0
1586,"@USAirways @AmericanAir Almost half hour on hold.  My cell phone battery is dying.  Thanks for your loyalty from a ""Platinum"" member",1,0,0
1587,"@JetBlue there is no supervisor available, so they couldn't do anything.",1,0,0
1588,@americanair anxious to see how you all care for customers you’ve inconvenienced #Cancelled Flightledflight,1,0,0
1589,@SouthwestAir I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?,1,0,0
1590,@USAirways why are you letting us go to the runway if there are mechanical problems. #wewantcomps,1,0,0
1591,@USAirways already did it. One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that,1,0,0
1592,@JetBlue Customer of the year? http://t.co/epqqONHO2H,0,1,0
1593,@SouthwestAir How do I stop getting credit card apps? I already have a card!,1,0,0
1594,"@SouthwestAir thx for smooth landing today @fly2midway, we applauded! Now what can u do abt the weather? #takemeback http://t.co/OQZ7Wc4lLA",0,0,1
1595,@USAirways you are cutting into my pregame time.  Go @KentuckyMBB !!!!,1,0,0
1596,"@SouthwestAir On hold over 2 hrs and got cutoff !Cancelled Flightled my flight, now can't get to booked cruise in Florida! Terrible customer service!",1,0,0
1597,@united First Officer of UA 1514 checking our 757 prior to departure from EWR yesterday while on his cell. Safety ??? http://t.co/1TFH2v0a7z,0,1,0
1598,@AmericanAir I am trying to add my tsa pre check number to my reservation online and don't see an option to do that..?? #nosecuritylines,1,0,0
1599,"@united oh, I'll be sharing alright. Especially about sleeping in this shitty airport and getting 1hr of sleep all night because UA.",1,0,0
1600,"@AmericanAir obviously we did see an agent-booked us for tomorrow morning. No hotel, no transportation. #pregnantwithtwins #stranded #angry",1,0,0
1601,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,1,0,0
1602,@united your service sucks to Mexico from houston. You finally realized that snacks in1st don't work you cheap as);:,1,0,0
1603,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763,0,0,1
